id,questions,sparq,answer
272,Was ist der Produzent von Mage Knight?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mage_Knight>    },WizKids
273,Was sind die Produzenten von Mage Knight?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mage_Knight>    },WizKids
274,Was war der Produzent von Mage Knight?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mage_Knight>    },WizKids
275,Was waren die Produzenten von Mage Knight?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mage_Knight>    },WizKids
276,Welche Organisation ist der Produzent von Mage Knight?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mage_Knight>    },WizKids
277,Welche Organisation war der Produzent von Mage Knight?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mage_Knight>    },WizKids
278,Welche Organisationen sind die Produzenten von Mage Knight?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mage_Knight>    },WizKids
279,Welche Organisationen waren die Produzenten von Mage Knight?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mage_Knight>    },WizKids
280,Gib mir den Produzenten von Magic: The Gathering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic:_The_Gathering>    },Wizards of the Coast
281,Gib mir die Produzenten von Magic: The Gathering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic:_The_Gathering>    },Wizards of the Coast
282,Was ist der Produzent von Magic: The Gathering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic:_The_Gathering>    },Wizards of the Coast
283,Was sind die Produzenten von Magic: The Gathering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic:_The_Gathering>    },Wizards of the Coast
284,Was war der Produzent von Magic: The Gathering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic:_The_Gathering>    },Wizards of the Coast
285,Was waren die Produzenten von Magic: The Gathering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic:_The_Gathering>    },Wizards of the Coast
286,Welche Organisation ist der Produzent von Magic: The Gathering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic:_The_Gathering>    },Wizards of the Coast
287,Welche Organisation war der Produzent von Magic: The Gathering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic:_The_Gathering>    },Wizards of the Coast
288,Welche Organisationen sind die Produzenten von Magic: The Gathering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic:_The_Gathering>    },Wizards of the Coast
289,Welche Organisationen waren die Produzenten von Magic: The Gathering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic:_The_Gathering>    },Wizards of the Coast
290,Gib mir den Produzenten von Mamfies Abenteuer?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Adventures_of_Mumfie>    },Gullane Entertainment
291,Gib mir die Produzenten von Mamfies Abenteuer?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Adventures_of_Mumfie>    },Gullane Entertainment
292,Was ist der Produzent von Mamfies Abenteuer?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Adventures_of_Mumfie>    },Gullane Entertainment
293,Was sind die Produzenten von Mamfies Abenteuer?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Adventures_of_Mumfie>    },Gullane Entertainment
294,Was war der Produzent von Mamfies Abenteuer?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Adventures_of_Mumfie>    },Gullane Entertainment
295,Was waren die Produzenten von Mamfies Abenteuer?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Adventures_of_Mumfie>    },Gullane Entertainment
296,Welche Organisation ist der Produzent von Mamfies Abenteuer?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Adventures_of_Mumfie>    },Gullane Entertainment
297,Welche Organisation war der Produzent von Mamfies Abenteuer?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Adventures_of_Mumfie>    },Gullane Entertainment
298,Welche Organisationen sind die Produzenten von Mamfies Abenteuer?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Adventures_of_Mumfie>    },Gullane Entertainment
299,Welche Organisationen waren die Produzenten von Mamfies Abenteuer?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Adventures_of_Mumfie>    },Gullane Entertainment
300,Gib mir den Produzenten von Magic Carpet Computerspiel?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Carpet_(video_game)>    },Bullfrog Productions
301,Gib mir die Produzenten von Magic Carpet Computerspiel?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Carpet_(video_game)>    },Bullfrog Productions
302,Was ist der Produzent von Magic Carpet Computerspiel?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Carpet_(video_game)>    },Bullfrog Productions
303,Was sind die Produzenten von Magic Carpet Computerspiel?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Carpet_(video_game)>    },Bullfrog Productions
304,Was war der Produzent von Magic Carpet Computerspiel?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Carpet_(video_game)>    },Bullfrog Productions
305,Was waren die Produzenten von Magic Carpet Computerspiel?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Carpet_(video_game)>    },Bullfrog Productions
306,Welche Organisation ist der Produzent von Magic Carpet Computerspiel?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Carpet_(video_game)>    },Bullfrog Productions
307,Welche Organisation war der Produzent von Magic Carpet Computerspiel?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Carpet_(video_game)>    },Bullfrog Productions
308,Welche Organisationen sind die Produzenten von Magic Carpet Computerspiel?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Carpet_(video_game)>    },Bullfrog Productions
309,Welche Organisationen waren die Produzenten von Magic Carpet Computerspiel?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magic_Carpet_(video_game)>    },Bullfrog Productions
310,Gib mir den Produzenten von Magnesit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesite>    },National Mineral Development Corporation
311,Gib mir die Produzenten von Magnesit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesite>    },National Mineral Development Corporation
312,Was ist der Produzent von Magnesit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesite>    },National Mineral Development Corporation
313,Was sind die Produzenten von Magnesit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesite>    },National Mineral Development Corporation
314,Was war der Produzent von Magnesit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesite>    },National Mineral Development Corporation
315,Was waren die Produzenten von Magnesit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesite>    },National Mineral Development Corporation
316,Welche Organisation ist der Produzent von Magnesit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesite>    },National Mineral Development Corporation
317,Welche Organisation war der Produzent von Magnesit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesite>    },National Mineral Development Corporation
318,Welche Organisationen sind die Produzenten von Magnesit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesite>    },National Mineral Development Corporation
319,Welche Organisationen waren die Produzenten von Magnesit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesite>    },National Mineral Development Corporation
320,Gib mir den Produzenten von Magnesium?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium>    },Dead Sea Works
321,Gib mir die Produzenten von Magnesium?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium>    },Dead Sea Works
322,Was ist der Produzent von Magnesium?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium>    },Dead Sea Works
323,Was sind die Produzenten von Magnesium?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium>    },Dead Sea Works
324,Was war der Produzent von Magnesium?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium>    },Dead Sea Works
325,Was waren die Produzenten von Magnesium?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium>    },Dead Sea Works
326,Welche Organisation ist der Produzent von Magnesium?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium>    },Dead Sea Works
327,Welche Organisation war der Produzent von Magnesium?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium>    },Dead Sea Works
328,Welche Organisationen sind die Produzenten von Magnesium?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium>    },Dead Sea Works
329,Welche Organisationen waren die Produzenten von Magnesium?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium>    },Dead Sea Works
330,Gib mir den Produzenten von Magnesiumchlorid?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium_chloride>    },South Bay Salt Works
331,Gib mir die Produzenten von Magnesiumchlorid?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium_chloride>    },South Bay Salt Works
332,Was ist der Produzent von Magnesiumchlorid?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium_chloride>    },South Bay Salt Works
333,Was sind die Produzenten von Magnesiumchlorid?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium_chloride>    },South Bay Salt Works
334,Was war der Produzent von Magnesiumchlorid?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium_chloride>    },South Bay Salt Works
335,Was waren die Produzenten von Magnesiumchlorid?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium_chloride>    },South Bay Salt Works
336,Welche Organisation ist der Produzent von Magnesiumchlorid?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium_chloride>    },South Bay Salt Works
337,Welche Organisation war der Produzent von Magnesiumchlorid?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium_chloride>    },South Bay Salt Works
338,Welche Organisationen sind die Produzenten von Magnesiumchlorid?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium_chloride>    },South Bay Salt Works
339,Welche Organisationen waren die Produzenten von Magnesiumchlorid?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnesium_chloride>    },South Bay Salt Works
340,Gib mir den Produzenten von Magnetresonanztomographie?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnetic_resonance_imaging>    },Esaote
341,Gib mir die Produzenten von Magnetresonanztomographie?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnetic_resonance_imaging>    },Esaote
342,Was ist der Produzent von Magnetresonanztomographie?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnetic_resonance_imaging>    },Esaote
343,Was sind die Produzenten von Magnetresonanztomographie?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnetic_resonance_imaging>    },Esaote
344,Was war der Produzent von Magnetresonanztomographie?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnetic_resonance_imaging>    },Esaote
345,Was waren die Produzenten von Magnetresonanztomographie?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnetic_resonance_imaging>    },Esaote
346,Welche Organisation ist der Produzent von Magnetresonanztomographie?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnetic_resonance_imaging>    },Esaote
347,Welche Organisation war der Produzent von Magnetresonanztomographie?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnetic_resonance_imaging>    },Esaote
348,Welche Organisationen sind die Produzenten von Magnetresonanztomographie?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnetic_resonance_imaging>    },Esaote
349,Welche Organisationen waren die Produzenten von Magnetresonanztomographie?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Magnetic_resonance_imaging>    },Esaote
350,Gib mir den Produzenten von Mahan-Klasse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mahan-class_destroyer>    },Gibbs & Cox
351,Gib mir die Produzenten von Mahan-Klasse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mahan-class_destroyer>    },Gibbs & Cox
352,Was ist der Produzent von Mahan-Klasse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mahan-class_destroyer>    },Gibbs & Cox
353,Was sind die Produzenten von Mahan-Klasse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mahan-class_destroyer>    },Gibbs & Cox
354,Was war der Produzent von Mahan-Klasse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mahan-class_destroyer>    },Gibbs & Cox
355,Was waren die Produzenten von Mahan-Klasse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mahan-class_destroyer>    },Gibbs & Cox
356,Welche Organisation ist der Produzent von Mahan-Klasse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mahan-class_destroyer>    },Gibbs & Cox
357,Welche Organisation war der Produzent von Mahan-Klasse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mahan-class_destroyer>    },Gibbs & Cox
358,Welche Organisationen sind die Produzenten von Mahan-Klasse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mahan-class_destroyer>    },Gibbs & Cox
359,Welche Organisationen waren die Produzenten von Mahan-Klasse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mahan-class_destroyer>    },Gibbs & Cox
360,Gib mir den Produzenten von Briefverteilanlage?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mail_sorter>    },Pitney Bowes
361,Gib mir die Produzenten von Briefverteilanlage?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mail_sorter>    },Pitney Bowes
362,Was ist der Produzent von Briefverteilanlage?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mail_sorter>    },Pitney Bowes
363,Was sind die Produzenten von Briefverteilanlage?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mail_sorter>    },Pitney Bowes
364,Was war der Produzent von Briefverteilanlage?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mail_sorter>    },Pitney Bowes
365,Was waren die Produzenten von Briefverteilanlage?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mail_sorter>    },Pitney Bowes
366,Welche Organisation ist der Produzent von Briefverteilanlage?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mail_sorter>    },Pitney Bowes
367,Welche Organisation war der Produzent von Briefverteilanlage?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mail_sorter>    },Pitney Bowes
368,Welche Organisationen sind die Produzenten von Briefverteilanlage?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mail_sorter>    },Pitney Bowes
369,Welche Organisationen waren die Produzenten von Briefverteilanlage?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Mail_sorter>    },Pitney Bowes
370,Gib mir den Produzenten von Maine Loire?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
371,Gib mir die Produzenten von Maine Loire?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
372,Was ist der Produzent von Maine Loire?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
373,Was sind die Produzenten von Maine Loire?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
374,Was war der Produzent von Maine Loire?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
375,Was waren die Produzenten von Maine Loire?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
376,Welche Organisation ist der Produzent von Maine Loire?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
377,Welche Organisation war der Produzent von Maine Loire?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
378,Welche Organisationen sind die Produzenten von Maine Loire?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
379,Welche Organisationen waren die Produzenten von Maine Loire?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
380,Gib mir den Produzenten von Maine?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
381,Gib mir die Produzenten von Maine?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
382,Was ist der Produzent von Maine?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
383,Was sind die Produzenten von Maine?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
384,Was war der Produzent von Maine?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
385,Was waren die Produzenten von Maine?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
386,Welche Organisation ist der Produzent von Maine?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
387,Welche Organisation war der Produzent von Maine?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
388,Welche Organisationen sind die Produzenten von Maine?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
389,Welche Organisationen waren die Produzenten von Maine?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maine>    },MaineToday Media
390,Gib mir den Produzenten von Mais?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maize>    },Elixir Group
391,Gib mir die Produzenten von Mais?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maize>    },Elixir Group
392,Was ist der Produzent von Mais?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maize>    },Elixir Group
393,Was sind die Produzenten von Mais?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maize>    },Elixir Group
394,Was war der Produzent von Mais?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maize>    },Elixir Group
395,Was waren die Produzenten von Mais?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maize>    },Elixir Group
396,Welche Organisation ist der Produzent von Mais?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maize>    },Elixir Group
397,Welche Organisation war der Produzent von Mais?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maize>    },Elixir Group
398,Welche Organisationen sind die Produzenten von Mais?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maize>    },Elixir Group
399,Welche Organisationen waren die Produzenten von Mais?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Maize>    },Elixir Group
400,Gib mir den Produzenten von Teppich?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carpet>    },Menards
401,Gib mir die Produzenten von Teppich?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carpet>    },Menards
402,Was ist der Produzent von Teppich?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carpet>    },Menards
403,Was sind die Produzenten von Teppich?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carpet>    },Menards
404,Was war der Produzent von Teppich?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carpet>    },Menards
405,Was waren die Produzenten von Teppich?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carpet>    },Menards
406,Welche Organisation ist der Produzent von Teppich?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carpet>    },Menards
407,Welche Organisation war der Produzent von Teppich?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carpet>    },Menards
408,Welche Organisationen sind die Produzenten von Teppich?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carpet>    },Menards
409,Welche Organisationen waren die Produzenten von Teppich?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carpet>    },Menards
410,Gib mir den Produzenten von Wagen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carriage>    },W.F. Stewart Company
411,Gib mir die Produzenten von Wagen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carriage>    },W.F. Stewart Company
412,Was ist der Produzent von Wagen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carriage>    },W.F. Stewart Company
413,Was sind die Produzenten von Wagen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carriage>    },W.F. Stewart Company
414,Was war der Produzent von Wagen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carriage>    },W.F. Stewart Company
415,Was waren die Produzenten von Wagen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carriage>    },W.F. Stewart Company
416,Welche Organisation ist der Produzent von Wagen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carriage>    },W.F. Stewart Company
417,Welche Organisation war der Produzent von Wagen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carriage>    },W.F. Stewart Company
418,Welche Organisationen sind die Produzenten von Wagen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carriage>    },W.F. Stewart Company
419,Welche Organisationen waren die Produzenten von Wagen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Carriage>    },W.F. Stewart Company
420,Gib mir den Produzenten von Patrone Munition?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cartridge_(firearms)>    },Eley Brothers
421,Gib mir die Produzenten von Patrone Munition?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cartridge_(firearms)>    },Eley Brothers
422,Was ist der Produzent von Patrone Munition?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cartridge_(firearms)>    },Eley Brothers
423,Was sind die Produzenten von Patrone Munition?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cartridge_(firearms)>    },Eley Brothers
424,Was war der Produzent von Patrone Munition?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cartridge_(firearms)>    },Eley Brothers
425,Was waren die Produzenten von Patrone Munition?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cartridge_(firearms)>    },Eley Brothers
426,Welche Organisation ist der Produzent von Patrone Munition?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cartridge_(firearms)>    },Eley Brothers
427,Welche Organisation war der Produzent von Patrone Munition?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cartridge_(firearms)>    },Eley Brothers
428,Welche Organisationen sind die Produzenten von Patrone Munition?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cartridge_(firearms)>    },Eley Brothers
429,Welche Organisationen waren die Produzenten von Patrone Munition?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cartridge_(firearms)>    },Eley Brothers
430,Gib mir den Produzenten von Etui?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Case_(goods)>    },Hora (company)
431,Gib mir die Produzenten von Etui?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Case_(goods)>    },Hora (company)
432,Was ist der Produzent von Etui?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Case_(goods)>    },Hora (company)
433,Was sind die Produzenten von Etui?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Case_(goods)>    },Hora (company)
